name,qid,measure,value
BM25,1008,R@100,1.0
BM25,1008,nDCG@10,0.0
BM25,1008,RR@10,0.0
BM25,1011,R@100,0.0
BM25,1011,nDCG@10,0.0
BM25,1011,RR@10,0.0
BM25,1038,R@100,0.0
BM25,1038,nDCG@10,0.0
BM25,1038,RR@10,0.0
BM25,1068,R@100,1.0
BM25,1068,nDCG@10,1.0
BM25,1068,RR@10,1.0
BM25,1069,R@100,0.0
BM25,1069,nDCG@10,0.0
BM25,1069,RR@10,0.0
BM25,1072,R@100,1.0
BM25,1072,nDCG@10,0.6309297535714575
BM25,1072,RR@10,0.5
BM25,1073,R@100,0.0
BM25,1073,nDCG@10,0.0
BM25,1073,RR@10,0.0
BM25,1077,R@100,0.0
BM25,1077,nDCG@10,0.0
BM25,1077,RR@10,0.0
BM25,1084,R@100,0.0
BM25,1084,nDCG@10,0.0
BM25,1084,RR@10,0.0
BM25,1090,R@100,0.0
BM25,1090,nDCG@10,0.0
BM25,1090,RR@10,0.0
BM25,1095,R@100,0.0
BM25,1095,nDCG@10,0.0
BM25,1095,RR@10,0.0
BM25,1096,R@100,0.0
BM25,1096,nDCG@10,0.0
BM25,1096,RR@10,0.0
BM25,1099,R@100,1.0
BM25,1099,nDCG@10,0.0
BM25,1099,RR@10,0.0
BM25,134,R@100,1.0
BM25,134,nDCG@10,0.0
BM25,134,RR@10,0.0
BM25,152,R@100,0.0
BM25,152,nDCG@10,0.0
BM25,152,RR@10,0.0
BM25,153,R@100,0.0
BM25,153,nDCG@10,0.0
BM25,153,RR@10,0.0
BM25,157,R@100,1.0
BM25,157,nDCG@10,0.0
BM25,157,RR@10,0.0
BM25,159,R@100,1.0
BM25,159,nDCG@10,0.0
BM25,159,RR@10,0.0
BM25,168,R@100,0.0
BM25,168,nDCG@10,0.0
BM25,168,RR@10,0.0
BM25,169,R@100,0.0
BM25,169,nDCG@10,0.0
BM25,169,RR@10,0.0
BM25,176,R@100,1.0
BM25,176,nDCG@10,0.0
BM25,176,RR@10,0.0
BM25,185,R@100,0.0
BM25,185,nDCG@10,0.0
BM25,185,RR@10,0.0
BM25,214,R@100,1.0
BM25,214,nDCG@10,0.0
BM25,214,RR@10,0.0
BM25,240,R@100,0.0
BM25,240,nDCG@10,0.0
BM25,240,RR@10,0.0
BM25,252,R@100,1.0
BM25,252,nDCG@10,0.6309297535714575
BM25,252,RR@10,0.5
BM25,256,R@100,0.0
BM25,256,nDCG@10,0.0
BM25,256,RR@10,0.0
BM25,265,R@100,1.0
BM25,265,nDCG@10,1.0
BM25,265,RR@10,1.0
BM25,270,R@100,0.0
BM25,270,nDCG@10,0.0
BM25,270,RR@10,0.0
BM25,271,R@100,0.0
BM25,271,nDCG@10,0.0
BM25,271,RR@10,0.0
BM25,273,R@100,0.0
BM25,273,nDCG@10,0.0
BM25,273,RR@10,0.0
BM25,279,R@100,0.0
BM25,279,nDCG@10,0.0
BM25,279,RR@10,0.0
BM25,281,R@100,1.0
BM25,281,nDCG@10,0.0
BM25,281,RR@10,0.0
BM25,290,R@100,0.0
BM25,290,nDCG@10,0.0
BM25,290,RR@10,0.0
BM25,296,R@100,0.0
BM25,296,nDCG@10,0.0
BM25,296,RR@10,0.0
BM25,299,R@100,0.0
BM25,299,nDCG@10,0.0
BM25,299,RR@10,0.0
BM25,303,R@100,1.0
BM25,303,nDCG@10,1.0
BM25,303,RR@10,1.0
BM25,311,R@100,0.0
BM25,311,nDCG@10,0.0
BM25,311,RR@10,0.0
BM25,321,R@100,0.0
BM25,321,nDCG@10,0.0
BM25,321,RR@10,0.0
BM25,325,R@100,0.0
BM25,325,nDCG@10,0.0
BM25,325,RR@10,0.0
BM25,341,R@100,0.0
BM25,341,nDCG@10,0.0
BM25,341,RR@10,0.0
BM25,345,R@100,0.0
BM25,345,nDCG@10,0.0
BM25,345,RR@10,0.0
BM25,346,R@100,0.0
BM25,346,nDCG@10,0.0
BM25,346,RR@10,0.0
BM25,351,R@100,0.0
BM25,351,nDCG@10,0.0
BM25,351,RR@10,0.0
BM25,353,R@100,1.0
BM25,353,nDCG@10,0.0
BM25,353,RR@10,0.0
BM25,365,R@100,0.0
BM25,365,nDCG@10,0.0
BM25,365,RR@10,0.0
BM25,367,R@100,0.0
BM25,367,nDCG@10,0.0
BM25,367,RR@10,0.0
BM25,371,R@100,0.0
BM25,371,nDCG@10,0.0
BM25,371,RR@10,0.0
BM25,375,R@100,0.0
BM25,375,nDCG@10,0.0
BM25,375,RR@10,0.0
BM25,385,R@100,0.0
BM25,385,nDCG@10,0.0
BM25,385,RR@10,0.0
BM25,391,R@100,0.0
BM25,391,nDCG@10,0.0
BM25,391,RR@10,0.0
BM25,403,R@100,0.0
BM25,403,nDCG@10,0.0
BM25,403,RR@10,0.0
BM25,423,R@100,0.0
BM25,423,nDCG@10,0.0
BM25,423,RR@10,0.0
BM25,428,R@100,1.0
BM25,428,nDCG@10,1.0
BM25,428,RR@10,1.0
BM25,436,R@100,0.0
BM25,436,nDCG@10,0.0
BM25,436,RR@10,0.0
BM25,442,R@100,0.0
BM25,442,nDCG@10,0.0
BM25,442,RR@10,0.0
BM25,449,R@100,0.0
BM25,449,nDCG@10,0.0
BM25,449,RR@10,0.0
BM25,458,R@100,1.0
BM25,458,nDCG@10,0.6309297535714575
BM25,458,RR@10,0.5
BM25,469,R@100,0.0
BM25,469,nDCG@10,0.0
BM25,469,RR@10,0.0
BM25,471,R@100,0.0
BM25,471,nDCG@10,0.0
BM25,471,RR@10,0.0
BM25,473,R@100,0.0
BM25,473,nDCG@10,0.0
BM25,473,RR@10,0.0
BM25,475,R@100,0.0
BM25,475,nDCG@10,0.0
BM25,475,RR@10,0.0
BM25,482,R@100,0.0
BM25,482,nDCG@10,0.0
BM25,482,RR@10,0.0
BM25,483,R@100,0.0
BM25,483,nDCG@10,0.0
BM25,483,RR@10,0.0
BM25,490,R@100,0.0
BM25,490,nDCG@10,0.0
BM25,490,RR@10,0.0
BM25,492,R@100,1.0
BM25,492,nDCG@10,1.0
BM25,492,RR@10,1.0
BM25,498,R@100,0.0
BM25,498,nDCG@10,0.0
BM25,498,RR@10,0.0
BM25,503,R@100,0.0
BM25,503,nDCG@10,0.0
BM25,503,RR@10,0.0
BM25,512,R@100,0.0
BM25,512,nDCG@10,0.0
BM25,512,RR@10,0.0
BM25,513,R@100,0.0
BM25,513,nDCG@10,0.0
BM25,513,RR@10,0.0
BM25,517,R@100,0.0
BM25,517,nDCG@10,0.0
BM25,517,RR@10,0.0
BM25,521,R@100,0.0
BM25,521,nDCG@10,0.0
BM25,521,RR@10,0.0
BM25,531,R@100,0.0
BM25,531,nDCG@10,0.0
BM25,531,RR@10,0.0
BM25,535,R@100,0.0
BM25,535,nDCG@10,0.0
BM25,535,RR@10,0.0
BM25,546,R@100,0.0
BM25,546,nDCG@10,0.0
BM25,546,RR@10,0.0
BM25,552,R@100,0.0
BM25,552,nDCG@10,0.0
BM25,552,RR@10,0.0
BM25,554,R@100,0.0
BM25,554,nDCG@10,0.0
BM25,554,RR@10,0.0
BM25,556,R@100,0.0
BM25,556,nDCG@10,0.0
BM25,556,RR@10,0.0
BM25,563,R@100,0.0
BM25,563,nDCG@10,0.0
BM25,563,RR@10,0.0
BM25,568,R@100,1.0
BM25,568,nDCG@10,0.6309297535714575
BM25,568,RR@10,0.5
BM25,579,R@100,0.0
BM25,579,nDCG@10,0.0
BM25,579,RR@10,0.0
BM25,586,R@100,0.0
BM25,586,nDCG@10,0.0
BM25,586,RR@10,0.0
BM25,609,R@100,0.0
BM25,609,nDCG@10,0.0
BM25,609,RR@10,0.0
BM25,622,R@100,0.0
BM25,622,nDCG@10,0.0
BM25,622,RR@10,0.0
BM25,623,R@100,0.0
BM25,623,nDCG@10,0.0
BM25,623,RR@10,0.0
BM25,625,R@100,0.0
BM25,625,nDCG@10,0.0
BM25,625,RR@10,0.0
BM25,626,R@100,0.0
BM25,626,nDCG@10,0.0
BM25,626,RR@10,0.0
BM25,627,R@100,0.0
BM25,627,nDCG@10,0.0
BM25,627,RR@10,0.0
BM25,633,R@100,0.0
BM25,633,nDCG@10,0.0
BM25,633,RR@10,0.0
BM25,637,R@100,0.0
BM25,637,nDCG@10,0.0
BM25,637,RR@10,0.0
BM25,639,R@100,0.0
BM25,639,nDCG@10,0.0
BM25,639,RR@10,0.0
BM25,641,R@100,0.0
BM25,641,nDCG@10,0.0
BM25,641,RR@10,0.0
BM25,644,R@100,0.0
BM25,644,nDCG@10,0.0
BM25,644,RR@10,0.0
BM25,649,R@100,1.0
BM25,649,nDCG@10,1.0
BM25,649,RR@10,1.0
BM25,652,R@100,1.0
BM25,652,nDCG@10,0.0
BM25,652,RR@10,0.0
BM25,659,R@100,0.0
BM25,659,nDCG@10,0.0
BM25,659,RR@10,0.0
BM25,660,R@100,0.0
BM25,660,nDCG@10,0.0
BM25,660,RR@10,0.0
BM25,665,R@100,1.0
BM25,665,nDCG@10,0.0
BM25,665,RR@10,0.0
BM25,676,R@100,0.0
BM25,676,nDCG@10,0.0
BM25,676,RR@10,0.0
BM25,681,R@100,1.0
BM25,681,nDCG@10,0.0
BM25,681,RR@10,0.0
BM25,682,R@100,1.0
BM25,682,nDCG@10,0.0
BM25,682,RR@10,0.0
BM25,689,R@100,0.0
BM25,689,nDCG@10,0.0
BM25,689,RR@10,0.0
BM25,693,R@100,0.0
BM25,693,nDCG@10,0.0
BM25,693,RR@10,0.0
BM25,712,R@100,0.0
BM25,712,nDCG@10,0.0
BM25,712,RR@10,0.0
BM25,714,R@100,0.0
BM25,714,nDCG@10,0.0
BM25,714,RR@10,0.0
BM25,722,R@100,0.0
BM25,722,nDCG@10,0.0
BM25,722,RR@10,0.0
BM25,723,R@100,1.0
BM25,723,nDCG@10,0.5
BM25,723,RR@10,0.3333333333333333
BM25,735,R@100,0.0
BM25,735,nDCG@10,0.0
BM25,735,RR@10,0.0
BM25,737,R@100,0.0
BM25,737,nDCG@10,0.0
BM25,737,RR@10,0.0
BM25,749,R@100,0.0
BM25,749,nDCG@10,0.0
BM25,749,RR@10,0.0
BM25,756,R@100,1.0
BM25,756,nDCG@10,0.0
BM25,756,RR@10,0.0
BM25,761,R@100,0.0
BM25,761,nDCG@10,0.0
BM25,761,RR@10,0.0
BM25,766,R@100,0.0
BM25,766,nDCG@10,0.0
BM25,766,RR@10,0.0
BM25,770,R@100,0.0
BM25,770,nDCG@10,0.0
BM25,770,RR@10,0.0
BM25,773,R@100,0.0
BM25,773,nDCG@10,0.0
BM25,773,RR@10,0.0
BM25,777,R@100,0.0
BM25,777,nDCG@10,0.0
BM25,777,RR@10,0.0
BM25,786,R@100,1.0
BM25,786,nDCG@10,1.0
BM25,786,RR@10,1.0
BM25,813,R@100,0.0
BM25,813,nDCG@10,0.0
BM25,813,RR@10,0.0
BM25,832,R@100,1.0
BM25,832,nDCG@10,0.0
BM25,832,RR@10,0.0
BM25,834,R@100,0.0
BM25,834,nDCG@10,0.0
BM25,834,RR@10,0.0
BM25,836,R@100,0.0
BM25,836,nDCG@10,0.0
BM25,836,RR@10,0.0
BM25,850,R@100,0.0
BM25,850,nDCG@10,0.0
BM25,850,RR@10,0.0
BM25,861,R@100,0.0
BM25,861,nDCG@10,0.0
BM25,861,RR@10,0.0
BM25,865,R@100,0.0
BM25,865,nDCG@10,0.0
BM25,865,RR@10,0.0
BM25,868,R@100,1.0
BM25,868,nDCG@10,0.0
BM25,868,RR@10,0.0
BM25,887,R@100,0.0
BM25,887,nDCG@10,0.0
BM25,887,RR@10,0.0
BM25,888,R@100,1.0
BM25,888,nDCG@10,1.0
BM25,888,RR@10,1.0
BM25,890,R@100,0.0
BM25,890,nDCG@10,0.0
BM25,890,RR@10,0.0
BM25,893,R@100,0.0
BM25,893,nDCG@10,0.0
BM25,893,RR@10,0.0
BM25,895,R@100,1.0
BM25,895,nDCG@10,0.5
BM25,895,RR@10,0.3333333333333333
BM25,898,R@100,1.0
BM25,898,nDCG@10,0.0
BM25,898,RR@10,0.0
BM25,902,R@100,0.0
BM25,902,nDCG@10,0.0
BM25,902,RR@10,0.0
BM25,905,R@100,0.0
BM25,905,nDCG@10,0.0
BM25,905,RR@10,0.0
BM25,906,R@100,0.0
BM25,906,nDCG@10,0.0
BM25,906,RR@10,0.0
BM25,919,R@100,0.0
BM25,919,nDCG@10,0.0
BM25,919,RR@10,0.0
BM25,926,R@100,0.0
BM25,926,nDCG@10,0.0
BM25,926,RR@10,0.0
BM25,934,R@100,0.0
BM25,934,nDCG@10,0.0
BM25,934,RR@10,0.0
BM25,959,R@100,0.0
BM25,959,nDCG@10,0.0
BM25,959,RR@10,0.0
BM25,978,R@100,0.0
BM25,978,nDCG@10,0.0
BM25,978,RR@10,0.0
BM25,985,R@100,0.0
BM25,985,nDCG@10,0.0
BM25,985,RR@10,0.0
BM25,992,R@100,0.0
BM25,992,nDCG@10,0.0
BM25,992,RR@10,0.0
BM25,993,R@100,0.0
BM25,993,nDCG@10,0.0
BM25,993,RR@10,0.0
BM25,998,R@100,0.0
BM25,998,nDCG@10,0.0
BM25,998,RR@10,0.0
