doc_id,text_length
846,745
340,452
868,1533
869,2147
628,4576
339,11837
595,13849
701,15721
892,292
872,27622
910,109
915,671
888,3578
953,511
930,2617
924,4496
890,5644
874,23617
980,6266
308,21871
852,14350
1002,3739
1006,5882
344,531
1020,5365
1028,4656
1029,7795
330,460
676,8663
1051,3725
1057,845
1058,2682
307,26839
1135,3546
802,16457
600,13381
841,5760
844,22123
1152,5384
1130,13763
324,13379
746,20403
1168,7809
736,28442
678,1380
848,21117
1293,1189
784,1245
711,7154
1305,2010
1324,1325
1322,3751
1331,753
1325,8348
1359,1806
1360,1326
1363,1521
1371,409
1306,12797
1373,488
864,16994
1389,1736
851,2942
1409,655
700,26557
358,20484
1435,935
1384,9528
1408,4548
1425,6985
1438,3162
1440,4648
1441,3959
1449,1831
1485,1356
1508,607
1509,810
1488,3001
1513,1481
1514,1820
1526,2026
1527,3848
1528,714
1529,3859
808,32145
1545,1942
1546,2579
954,14091
983,7544
1548,1013
1552,256
974,8599
951,5832
1550,7842
1556,5681
1565,218
1563,449
1567,1406
1557,8374
1571,889
1560,6034
1570,6404
1573,4133
1575,8398
1566,8473
1580,335
1578,280
984,19007
1577,2388
1585,365
1588,221
1589,679
1587,1120
1581,1909
1593,936
1576,12000
1583,3530
1586,2738
1594,1063
1595,1002
1596,1001
1605,207
1606,3080
1599,2139
1592,7280
1600,4782
1615,1083
1616,1327
1617,1668
783,25236
1000,13610
1625,14975
1643,143
1642,1323
1627,12059
1017,16156
1647,483
1614,497
1613,5302
1652,6535
1654,157
1620,1721
1656,387
1655,1820
1658,474
1657,2154
1660,908
1659,770
1649,15127
1662,565
1664,669
1669,233
1661,1149
1676,1725
1683,399
1679,3422
1624,27651
1684,705
1685,1215
1700,270
1687,2466
1686,1889
1702,375
1714,150
1698,1475
1716,578
1718,624
1677,6310
1723,551
1724,1058
1729,219
1730,641
1719,5981
1732,942
1727,4712
1715,10529
856,32687
1734,2655
1738,440
1623,25438
1746,689
1751,391
1754,207
1748,2750
1752,1327
1758,818
1760,1896
1759,3814
1763,130
1761,1727
1038,19686
1764,258
1767,1596
1810,314
1789,1466
1141,38550
1235,2591
1822,12022
1825,1088
1814,16328
1247,2280
1840,861
1842,7106
1216,16556
737,32500
1148,17177
1256,8850
1239,19241
1871,3045
1828,11334
1273,24026
1880,324
1873,363
1869,1429
1875,955
1878,662
1879,655
1874,2359
1872,3747
1298,4259
1949,526
1893,3423
1208,13628
1960,244
1864,5140
1948,2272
1934,1890
1177,19485
738,28305
1644,5572
1988,3274
2021,644
2019,1203
1937,9178
2018,2149
2025,732
1955,4453
2038,325
1370,14311
2027,1211
2009,5972
594,28615
1938,19492
2063,771
1397,14278
2029,4140
2062,6922
1975,5931
2099,368
2077,958
2023,7146
2064,5523
2151,1369
2110,1187
2108,2808
2042,9151
2065,12667
2180,4975
2201,1448
1436,10910
2233,2001
2238,2222
2244,1122
2067,7280
2236,2902
2245,941
2282,1687
1520,11887
2313,1020
2274,4443
2299,2467
1540,4862
2329,129
2085,26222
2340,514
1446,11640
2176,23742
1494,20057
2363,1290
2030,29294
2339,881
2346,994
2381,155
2314,3497
1549,684
2383,1167
2372,221
1645,11031
2391,1174
2371,3302
2310,9080
2398,1012
2405,2706
2406,3045
2417,2972
2402,11563
2397,12220
2440,1928
2273,9982
2433,2892
2476,621
2422,8651
2477,848
2490,562
2466,4616
2447,7720
2510,2988
2400,18211
2514,2328
2526,446
2519,4238
2544,1272
2552,313
2543,5215
1640,16235
2583,950
2602,244
2607,1479
2608,1701
2610,1173
2609,1329
2613,1808
2619,396
2620,275
2630,157
2632,1966
2634,511
1737,1582
1749,727
2641,786
1735,18029
2640,8427
2646,950
2645,1234
2674,1336
1762,1886
2677,347
2642,16805
2679,63
2680,112
2668,3228
2685,1858
2676,7920
1755,9141
2684,225
2691,315
2686,1295
2678,7005
2700,463
2707,154
2681,1963
2692,2027
2695,2420
2714,1138
2712,1480
2716,787
2717,1803
2715,3768
2705,5944
2729,117
2740,532
2758,1867
2709,7278
2802,865
2810,391
2723,6665
2820,512
2851,3564
2234,6223
2865,2255
2868,446
2875,2216
2877,3165
2881,3102
2563,8799
2905,14490
2907,710
2908,509
2639,1717
2919,3575
2926,1672
2928,2799
1812,11693
2948,532
2944,14373
1806,22920
2988,2115
1844,10196
2999,1833
3010,2209
3013,2060
1923,1865
3020,232
3017,889
2369,9544
3022,8902
3029,3161
3043,1017
3040,7340
3055,6201
3070,6443
2076,5094
3082,1141
1859,19364
2144,14947
3075,2497
3087,437
3085,1403
3089,761
3088,352
2304,724
3122,228
2198,792
2241,11252
3125,115
3120,712
3110,2184
3132,745
3203,143
3204,634
3083,8341
3080,10255
3221,1528
3198,3291
3192,2698
3235,364
3234,192
2126,4725
1998,23642
3236,1496
3270,460
2006,27394
3269,806
3217,5740
3244,3001
3246,3867
3225,12760
3273,3089
2376,2747
3376,5521
2382,24844
3355,12980
3138,18570
3333,19552
2321,11879
2386,6780
2482,2856
2475,959
3422,1663
2425,16873
3450,2587
2512,4697
3427,5921
3451,12217
2575,13030
3457,8916
3458,19090
2511,7370
3470,19970
2722,733
2701,11553
3713,584
3719,1361
3712,8890
3740,2315
3741,5065
3722,14842
2786,6731
3772,8247
2847,20023
3780,6224
3785,588
3826,467
2893,3087
3836,738
3837,2960
3838,749
3845,8065
3869,3492
2911,1305
3873,28060
2812,1698
3947,7204
3960,7391
3963,664
3003,3259
3965,1041
3969,9084
3984,544
3455,13243
3986,24148
3992,2625
3012,9502
4001,2243
3052,5027
4010,13189
2983,48251
4027,5983
4032,3889
4037,7575
4051,565
4041,15203
4067,1622
3092,6354
4068,12006
4091,442
3079,9005
4093,60
3746,12031
4078,5797
3295,7817
3747,12602
4110,1084
4166,3691
4178,154
4182,393
4097,11612
3832,7081
3789,8344
4203,1526
3408,13897
3343,15531
3397,5102
4163,15036
4231,1955
3395,27700
3338,29099
3356,26162
4224,6306
4241,2256
4261,1828
4282,865
4242,1495
4216,4595
4227,7001
3382,24456
4249,3452
4233,2321
4366,823
4367,4643
4318,8760
4445,146
3459,9410
3415,13479
4408,10965
4326,8805
3354,23256
4385,10380
4471,4022
4312,10475
4497,3252
3383,24017
4463,12060
4481,7692
4524,1444
3464,16624
4517,3902
3466,13927
4527,8725
4548,2709
4552,5303
3463,22413
4551,6859
3454,29994
4568,1320
3462,24232
4554,4319
4569,2871
4582,6054
4607,2639
3874,1294
4572,11249
4580,7982
4608,8682
4631,3411
4601,6553
4641,1870
4622,5182
4635,3996
4644,5228
4669,294
4649,5602
3708,22502
3875,32077
4690,771
4688,4476
4689,964
4717,12571
3970,8873
4726,10493
4727,2641
3999,3844
4729,7445
4730,7533
4737,710
3985,10595
4188,3066
4752,10612
4779,4198
4789,1937
4537,10030
4797,370
4335,41317
4833,5716
4836,1736
4858,4441
4859,2044
4861,367
4800,14799
4528,4648
4870,568
4871,9295
4876,10475
4675,21822
4886,3480
4031,9004
4892,9484
4893,12368
4059,10240
4904,2197
4896,4025
4692,4860
4916,942
4158,447
4921,3804
4933,170
4930,4582
4948,1121
4942,1531
4963,462
4961,937
4969,4192
4911,17873
4982,606
4642,11260
5031,1524
4980,6041
4973,19098
4195,276
5035,4352
4157,19391
5034,10263
5033,6802
5050,2011
4173,33005
4285,8844
4237,7605
4512,1882
4492,9180
4484,7734
4443,16748
5046,16718
5215,3662
4375,18458
5322,5825
5313,5156
5397,3977
4544,1581
5233,13198
5403,10621
5314,25635
4611,1277
5447,11699
4566,10942
4561,2719
4560,7020
5551,11039
5622,9058
4626,11097
4721,19050
5646,14077
5654,9139
5688,836
4667,15647
4670,3652
5690,1135
5697,561
5648,16990
5706,479
5693,5177
5729,7954
5698,11159
5736,1067
4741,13826
5768,2841
5769,894
4728,17751
4792,15761
5790,3010
5804,4455
5813,13308
4868,9830
4860,18934
5829,4798
4878,3252
5907,11447
4917,5111
4742,2000
5959,24508
5981,12052
5048,12649
6046,10591
6066,5616
6091,434
5015,4110
6112,7873
6117,21889
5655,17416
6139,296
4960,13214
6140,12921
5771,8801
6176,24004
6185,8637
6193,3740
6208,324
6210,4603
6187,12368
5132,8342
5052,8900
6255,1790
6261,180
5142,31470
6290,1810
6250,9048
6260,14370
5478,12799
6330,1120
5321,16554
6326,1190
6331,478
6337,291
6431,688
5166,22038
6434,1058
6456,237
5422,2289
5224,30422
6427,4580
6452,5355
6451,1957
6501,6449
5488,9041
6533,1284
6503,4925
6532,3414
6539,3846
6586,483
6569,670
6293,18414
6585,2330
6561,3732
5489,18438
5222,20179
6607,2053
6639,1140
6599,5477
6548,9940
6666,929
