qid,bm25,reranker,biencoder,query_length,long_query,outcome
1008,0.0,0.1428571428571428,0.2,81,False,Neural only
1011,0.0,0.0,0.0,104,False,All fail
1038,0.0,0.0,0.0,142,True,All fail
1068,1.0,0.0,1.0,229,True,All succeed
1069,0.0,0.0,0.0,130,True,All fail
1072,0.5,0.3333333333333333,0.0,254,True,All succeed
1073,0.0,0.0,0.0,100,False,All fail
1077,0.0,0.0,0.0,121,False,All fail
1084,0.0,0.0,0.0,250,True,All fail
1090,0.0,0.0,0.0,108,False,All fail
1095,0.0,0.0,0.0,86,False,All fail
1096,0.0,0.0,0.0,118,False,All fail
1099,0.0,0.0,0.25,135,True,Neural only
134,0.0,1.0,0.0,75,False,Neural only
152,0.0,0.0,0.0,87,False,All fail
153,0.0,0.0,0.0,79,False,All fail
157,0.0,0.0,0.0,37,False,All fail
159,0.0,0.125,0.1666666666666666,113,False,Neural only
168,0.0,0.0,0.0,116,False,All fail
169,0.0,0.0,0.0,146,True,All fail
176,0.0,0.0,0.0,130,True,All fail
185,0.0,0.0,0.0,182,True,All fail
214,0.0,0.5,0.0,97,False,Neural only
240,0.0,0.0,0.0,290,True,All fail
252,0.5,0.2,0.0,230,True,All succeed
256,0.0,0.0,0.0,315,True,All fail
265,1.0,0.5,0.25,123,True,All succeed
270,0.0,0.0,0.0,73,False,All fail
271,0.0,0.0,0.0,195,True,All fail
273,0.0,0.0,0.0,138,True,All fail
279,0.0,0.0,0.0,67,False,All fail
281,0.0,0.0,0.0,101,False,All fail
290,0.0,0.0,0.0,88,False,All fail
296,0.0,0.0,0.0,149,True,All fail
299,0.0,0.0,0.0,122,True,All fail
303,1.0,0.1666666666666666,0.5,131,True,All succeed
311,0.0,0.0,0.0,199,True,All fail
321,0.0,0.0,0.0,216,True,All fail
325,0.0,0.0,0.0,133,True,All fail
341,0.0,0.0,0.0,56,False,All fail
345,0.0,0.0,0.0,145,True,All fail
346,0.0,0.0,0.0,145,True,All fail
351,0.0,0.0,0.0,107,False,All fail
353,0.0,0.1428571428571428,1.0,217,True,Neural only
365,0.0,0.0,0.0,121,False,All fail
367,0.0,0.0,0.0,205,True,All fail
371,0.0,0.0,0.0,71,False,All fail
375,0.0,0.0,0.0,235,True,All fail
385,0.0,0.0,0.0,57,False,All fail
391,0.0,0.0,0.0,186,True,All fail
403,0.0,0.0,0.0,370,True,All fail
423,0.0,0.0,0.0,97,False,All fail
428,1.0,0.25,0.0,116,False,All succeed
436,0.0,0.0,0.0,51,False,All fail
442,0.0,0.0,0.0,100,False,All fail
449,0.0,0.0,0.0,100,False,All fail
458,0.5,0.25,0.3333333333333333,186,True,All succeed
469,0.0,0.0,0.0,308,True,All fail
471,0.0,0.0,0.0,109,False,All fail
473,0.0,0.0,0.0,95,False,All fail
475,0.0,0.0,0.0,99,False,All fail
482,0.0,0.0,0.0,152,True,All fail
483,0.0,0.0,0.0,118,False,All fail
490,0.0,0.0,0.0,96,False,All fail
492,1.0,0.3333333333333333,0.0,85,False,All succeed
498,0.0,0.0,0.0,286,True,All fail
503,0.0,0.0,0.0,134,True,All fail
512,0.0,0.0,0.0,331,True,All fail
513,0.0,0.0,0.0,102,False,All fail
517,0.0,0.0,0.0,52,False,All fail
521,0.0,0.0,0.0,145,True,All fail
531,0.0,0.0,0.0,185,True,All fail
535,0.0,0.0,0.0,382,True,All fail
546,0.0,0.0,0.0,86,False,All fail
552,0.0,0.0,0.0,107,False,All fail
554,0.0,0.0,0.0,59,False,All fail
556,0.0,0.0,0.0,74,False,All fail
563,0.0,0.0,0.0,140,True,All fail
568,0.5,0.1666666666666666,0.5,79,False,All succeed
579,0.0,0.0,0.0,171,True,All fail
586,0.0,0.0,0.0,116,False,All fail
609,0.0,0.0,0.0,170,True,All fail
622,0.0,0.0,0.0,227,True,All fail
623,0.0,0.0,0.0,80,False,All fail
625,0.0,0.0,0.0,72,False,All fail
626,0.0,0.0,0.0,84,False,All fail
627,0.0,0.0,0.0,278,True,All fail
633,0.0,0.0,0.0,244,True,All fail
637,0.0,0.0,0.0,179,True,All fail
